,letter,year
na_uk_33,last time write think tell lose comfortable job railhead shift general headquarters godforsaken hole possibly france rotten journey rain time reveille * 4am eventually leave station 10am accommodation consist old cattle truck ration bully biscuit cold uncomfortable journey arrive destination stand rain 2½ hour full pack set ten mile march bad march ever do majority u finish absolutely knock glad crawl billet go bed 12pm give u mug tea first since six morning best ration rum date soldier kit carry place place consists 150 round ammunition inside pack overcoat fur coat two pair sock one pant one shirt ground sheet iron ration emergency food supply outside pack mackintosh mess tin haversack clean kit hold 24lbs ration soap towel top extra handkerchief plate mug tobacco etc two smoke helmet * satchel slung shoulder respirator left flap tunic field dress right course rifle light weight long march take one strength stay power keep go billet barn sea mud get board sleep ground fire allow billet night time devilish cold village little general shop nearly sell one pub sell something charge 2½d call beer shop description course amusement ration good today dinner sunday bully beef stew two potato 35 men loaf bit small loaf two tin jam seven men short bread issue augment world famous army biscuit captain perfect gentleman popular man regiment junior captain absolute sport platoon officer decent sort fellow appear much good respect certainly think d. co. get good selection officer company battalion one fellow run across number audit r.e.s enquire maggs freddy leave stiff marching,1916
na_uk_34,dear mr hunt expect hear office england suffering gas poisoning quite long time since last write doubt line acceptable explain matter leave trench vimy ridge july 5th march back 14 mile eventually reach village name ostreville purpose divisional rest signaller think orchard would convenient erect bivouac busy carry idea old frenchman appear scene raise objection however agree last allow u one end orchard thinking suppose would wander place enjoyable time six day return old billet near mount st. eloi whole division retire guess move ‘ rest following day spend marching travel motor lorry train arrive mericourt station july 21st near albert delightful swim river near billet march follow night take part ‘ big push. sleep open field night near fricourt farm rather rudely awaken german shell land near u five day lie reserve district occupy time watch army men work valley make road railway bore water lay water pipe also practice attack old trench interesting see great amount artillery busy practically day night read message send visual signalling often use light ridge across valley period reserve move mametz wood lie support five day go trench high wood arrival edge wood night welcome big dose gas shell shrapnel apply steadily throughout night german artillery assist put signal gear hole safety prevent use respirator first quarter hour could see account darkness dust make ammunition column rush along road time must breathe enough gas put action afterwards course respirator use settle hole roadside night remain battalion send casualty clear station august 3rd reach rouen hospital next day wait 9th cross channel havre southampton new zealand ship marama 800 patient day splendid boat every convenience carry wound men sister orderly colonial last friday week arrive must say comfortable quiet remain bed last saturday course route marching yet take life quietly hardship assure france ordinary diet take medicine hear mr symons back back old spot hope pretty fit although suppose must something wrong back suppose thing quiet usual holiday yet time believe shall glad line time hear late office hope keep fit also mr j.b. taylor mr woodhams kind regard sincerely frosty p.s treat write letter without censor shadow one,1916
na_uk_35,dear mr hunt thanks much letter receive week two ago also magazine trench fact seem spend three time much time also pretty warm spot towards end last summer french german fierce fighting war country around veritable maze trench fighting one time fierce time bury dead side trench trench crumple one constantly see bone men leg boot skull stick side trench pleasant eh pleasant smell summer hope place twenty yard away fritz company consequently time air pretty thick bomb grenade trench mortar last pretty hellish sort toy explosion like ten earthquake roll one even bad put trench close together course amount mine go one never know particular lump earth one stand go take trip solar region mine go excitement knock tell suppose instance go explode one artillery neighbourhood range spot directly mine explode hell let loose crater course soon get range enemy reply air fairly full everything kill quickly one occasion always rely good many casualty since spasm five explode neighbourhood others expect go time much condition everything town pretty quiet suppose see zepps zeppelin fact one drop thames line censor news close kind regard everybody sincerely gilbert williams,1916
na_uk_36,dear mr smith hope accept apology write want lack opportunity wonder fairly well queer several week recently also often wonder get like hear matter five minute ago fritz bomb u get ground lay twenty minute one fellow hit severely shrapnel second visit evening soon twelve month since leave seem long time ago afraid little may tell conclude ask accept best wish new year desiring remember kindly enquire friend believe dear mr smith sincerely w. wiggs,1917
na_uk_37,sunday dear charlie thing go expect like rest u glad good weather set doubt rough lately since last write shift another part line warm shop side must gun find nothing one long duel day every day thank goodness give bit night one get work see night flash gun see plainly fire lot right people retake trench lose oh rough time poor devil snow mud much like lay two day grub could get expect paddington call seem authority mean men want get one way another certainly look want one see sign early settlement see paper air raid busy england suppose see anything yet rory moore fright taubes german aircraft hospital nearly every day night tell get start time near since one yard main door blow two pair double door shatter end building bit great deal damage life main thing arrangement work five six day line four five lucky course time arrangement go pot attack get warm time like enlarge thing course understand give kind regard trust well,1916
na_uk_38,dear mr w.h davy line let know forget receive letter tuesday 3rd january 1917 send august 24th marking envelope round various regiment officer arrive quite safe last receive letter write october quite safe sorry write rather busy receive last letter could send field card month well pleased tell still go first rate expect surprise hear leave northamptonshire regiment attach army printing stationary service open new branch photography line photographer unable tell present expect harry please hear use give quite lot tuition respect two u present dark room finish yet easy time officer away england get photographic apparatus charge billet company australian electrician mechanic mining boring engineer fine time good lot fellow make u welcome grand xmas know enjoy understand change line come job month line wait go top weather favourable go four day rest three day back water knee trench impossible use communication trench hold front line two platoon say boy section line platoon twenty two strong include officer bombardment eight put ten minute dugout description imagine like stand four night hop weather would alright could go get do dig one night let u five hour gas shell two chap hit put right sight smell awful good many chap lay fell advance impossible bury also dozen dead horse round mud kill shell fire bring ammunition gun gun never cease soon one section stop another lot open tell somme noise last time come forty eight hour rest troop bad condition doctor send report say fit line two regiment division go place hold reserve glad say require well think a.p s.s. since december 1st tell hope shall stop desire go back line kindly remember old friend kind regard section sincerely h.a skilling 2 section advance section army printing stationary service…,1917
na_uk_39,dear mr taylor doubt think forget friend audit never let say army term please truth tell go write time time put various reason take opportunity write charge tonight guard get job week bad three men man wait mount 5pm dismiss 7am make comfortable guard tent cover top sand bag get grass grow sand bag 4ft high make good protection april 1st get two strip 1st air mechanic 12 month noncommissioned officer decent mess everything ok. corporal charge wireless photographic electrical instrument use aeroplane good education subject one like best wireless far interesting photography big thing indeed lot depend upon good photograph hun lines… yesterday saw nice little game one one anti-aircraft fire take bit high machine go get well top two come along force try manner trick come alright land clean machine break part two hun inside quite well give revue theatrical show chap 13th go alright start 9pm give two hour show enclose programme forward photo ‘ old inhabitant soon receive frenchman take them…kind regard section remainder agreement hop fit well good bye sincerely f.r morris,1917
na_uk_40,dear charles line let know get fine france since good friday morning well bad course comfortable office work lord mayor london see u sunday rest make little speech office might remember mr woodhams mr jones mr cowan boy also girl suppose mr redford retire trench since 13th expect shall go shortly little dugout flood heavy thunderstorm run rotten see town shell piece suppose ever rebuild brother home leave time ago second time get badly promote sergeant seem get fine see ernie smith get still a.p.c army pay corp non-fighting troop hear lot transfer line regiment well time war back old place trench 25 30 yard hun keep bit low address 3343 lance corporal j. davy 1 platoon company 6th city london rifle b.e.f. france might drop line let know get news kind regards…,1916
na_uk_41,dear mr. rich bad happen war office send u place mile nowhere camp however make hundred hut accord ‘ old uns game fine ever certainly everything alright place muddy time split one half get frightfully dirty get clean however game help twenty hut bed three long board two trestle eight nine inch floor straw mattress straw pillow four blanket bit use however quite comfortable sleep like top marvellous think settle think rise breakfast porridge bacon parade drill till half hour rest drill dinner 1 clock meat two vegetable sweet parade drill bring u 4pm dismiss day tea 5pm bread butter jam like time hut final day roll call 10pm light day consist present may seem much really half day clean grub alright quite enough present think however right soon make necessary arrangement time non-commissioned officer seem little overworked every day vary two morning week long route march morning course half day saturday church parade sunday altogether thing bad thing get away weekend would take time travel london back shall try however run town week time possible kind regard ‘ omega everybody 164 w.1 include s.c.d,0
na_uk_42,sunday dear charlie thing go expect like rest u glad good weather set doubt rough lately since last write shift another part line warm shop side must gun find nothing one long duel day every day thank goodness give bit night one get work see night flash gun see plainly fire lot right people retake trench lose oh rough time poor devil snow mud much like lay two day grub could get expect paddington call seem authority mean men want get one way another certainly look want one see sign early settlement see paper air raid busy england suppose see anything yet rory moore fright taubes german aircraft hospital nearly every day night tell get start time near since one yard main door blow two pair double door shatter end building bit great deal damage life main thing arrangement work five six day line four five lucky course time arrangement go pot attack get warm time like enlarge thing course understand give kind regard trust well davy,0
na_uk_43,dear gerald doubt perhaps think forget old friend paddington case much spare time letter writing tell adventure since leave england would take long relate save come home perhaps hear farnborough four day send god old chap time first fortnight live bully beef biscuit travel day night sleeping anywhere long tramp full kit nearly do u training manage stick think poor percy smith would give queer toothache first six week move place place sort fatigue work bar lambert smith collins settle h— place mr laker son long collins lambert fortunate enough get temporary clerical work last month promise one 17th last month wound bomb taube land clean billet 12 clock night sound asleep catch thigh luckily flesh wound awful bruise debris fell hospital ever since base pleased say nearly well convalescent camp three mile overlook sea allow put address heading letter put 2am /w.p mansbridge no.16929 royal fly corp g 21 hut 6 convalescent depot a.p.o s.17 british expeditionary force discharge shall send base line best luck tommies say hop get back h— happy decent fellow think probable lambert smith often use talk old time wonder thing paddington daresay gerald many young fellow leave audit mr horsley go drop line time assure old boy real treat hear paddington news never felt good health army life certainly agree also lambert billy button headquarters get cushy job believe saw idea g.w fellow afraid fluent french yet could do service several occasion mr slater member stats department disband please remember kindly line censor stop write concert y.m.c.a hut camp line censor sincerely dick mansbridge p.s 12 mile use go perhaps guess place e- – – – – s. etaples ever hear anything boy,0
na_uk_44,dear mr hunt pleased receive letter many thanks take nearly fortnight reach change good deal lately one division another follow around pleased say still keep fit go way think last time write live truck well move hut ten foot square comfortable although quite large truck well build stand foot ground keep dry two one use office sleep live also tent use keep kit etc shall probably sleep weather bit warm lovely weather lately quite like summer rather cold night great deal snow last month also plenty rain wind top boot mud station small village stand high 600 foot sea level guess bit breezy time one-eyed hole two cafe shop meal cook one cafe live well although much variation menu manage one two musical evening lately fiddle buy appear fairly good one finger quite nimble afraid shall put month two practice get back come glad hear take shall able get band next ‘ lamb dinner whenever thing seem make much move round way get plenty aeroplane see good many fight air also good many shell drop far away u manage dodge far although one fellow come midland railway work time wound send base one g.w man anywhere near far know colcott chief good manager office distance away see much surprise hear morris go r.f.c royal fly corp reject infantry also surprised sorry hear jack symons hear nothing happen must quiet office many go censored line say quite change old day yet come across join r.e royal engineer transport lately know arthur watton join concert party belonging one division station round stay village last week give u show two night run proper stage scenery footlights everything complete good indeed programme consist song sentimental otherwise also ‘ sketch charlie chaplin picture laughable usual well think tell much present please remember office kind regard sincerely m.p pond,0
na_uk_45,dear g. mr burgoyne guess wonder become long silence see good distance away homeland arrive early april since start get quite well may interested know gray department also rather strange rub weather brilliant cloudless sky day day hot plenty mosquito tantalise net practically necessity sleep purpose billet warehouse old place stand hundred year think accord general appearance pick lingo yet french chiefly spoken much regret study opportunity home town queer sort place compare french town know sure shall wish see leave cafés gay french manage fun occasionally get piano gramophone amuse hope shall able another trip paris war clear course question nobody answer yet awhile shall pleased hear news conclude best sincerely frank,0
na_uk_46,dear bertie pleased say still job get understand run thing interesting work would imagine real line sometimes push carry till early hour morning might say grumble tea money overtime bonus quota put much eighteen hour day sometimes would send deputation chief also hard room special way deal army course one never know long may last may march order proceed elsewhere day day absolutely day unto count tomorrow see visit blizzard also severe touch winter present moment snow hard outside shutter close work carry lamplight necessary owe glass recently leave window small fragment souvenir shell call upon u weather fine fresh air fiend day night except close shutter snow rain latter often host interesting thing could write later pleasure see lieut dunton crowd hereabouts run suppose derby * entry commence run meet another gw fellow day sergeant gregory slough fellow think george jones would know see fellow paddington know speak letter longmoor camp must correct information j. higgs railway transport engineer another friend mine watton windsor finance office…,0
na_uk_47,must thank cigarette send receive letter last night bankruptcy regard fag consider save life go pigeon kill reduce number well come handy homing pigeon fund want dad place lime-washed say look quite smart think four old bird two youngster bomb zep zeppelin shook make nice little row hear see drop piece one bomb hit quite 500 yard drop course hurt spend even noise bomb quarter loud one drop near last saturday trench mortar bomb although quite 50 yard force explosion knock sincerely ron,0
na_uk_48,dear mr welsh lot happen since last write move move move still move nothing say actual come tell pack do march soon afterwards make four bridge quite comfortable cabin enjoy unwanted luxury electric light thing strike one come away nothing alter might easily night land old beach apparently full box bully beef tin milk jam old destroyer search light play shore keep systematic bombardment old swish bullet around drop water sooner christmas pack come large town mile interior filthy rotten smelly hole always carry loaded revolver walk batch never dark probably people ill dispose u look pretty villainous well safe side… quite good time regular hour regular meal back everyone well fit ever- apparently thank much xmas card bit late xmas letter parcel account way move lose good mail persia s.s. persia torpedoed sunk december 1915 enclose photo might interest snap come later let turn good kind regard sincerely h.w cronin,0
na_uk_49,dear sir expect wonder become hear long time reason since 20th september suffer enteric typhoid exact diagnosis case para typhoid b. three week next friday since first get bed make splendid progress isolation hospital france six week previous general hospital eight day arrive late last wednesday night decent journey beautiful palace surround park walk allow go post office quite near quite happy comfortable splendid hospital concert cinema nearly every night big hall food good plentiful long consider fit notion rule take month person get right funny beastly complaint whole time hospital receive every attention kindness month july august somme district rough time nearly work death little sleep one period commence work 2am suppose rest day could get however good cause get ambulance train load station saw awful sight english german wound perhaps pick fever place one never know isolation hospital france keep three week two day liquid pleased say doctor put ordinary diet kindest regard best wish remain obediently a. smith,0
na_uk_50,dear mr wood mean write could tell definitely settle seem time must lapse happy consummation decide would wait longer felixstowe large important home station ‘ experimental educational station i.e sort machine invention give chance large number young officer teach fly sea plane seven hundred eight hundred men station great proportion mechanic readily appreciate work store officer sinecure another man send training serve gallipoli machine gun section afterwards worry senussi reference western desert campaign north africa armoured car collect eight machine gun bullet anatomy send home store work exceedingly good chap great chum store temporarily carry carpenter commissioned warrant officer quite thought friend would appoint matter fact recommend post halfway ‘ muster stock take await confirmation admiralty today order come ‘ stand ease appear man send really disappointment care least send learnt enough take old store let know anything decide work station course tell much intensely interesting one really feel quite near thing four raid since truly fascinating lively six inch gun quite near billet busy begin enjoy boom fall bomb crack gun shriek shell fantasia dozen search light provide excellent entertainment course harwich harbour adjoin air station objective first order shall glad hear know change event audit office seem far away see back forty-eight hour leave daughter wed 23rd august husband leave india 23rd instant great wrench suppose retire get back hope may altogether lose sight regard seem tame directly want say anything interesting bring sharp kind regard friend agreement sincerely donald s.w hambly hem miss gw magazine see september number,0
na_uk_51,dear jim mr porter line let know thing go fairly good time nothing grumble think shall go france month yet meet one chap ticket department last week r.f.c u foot canvas fortnight owe wind rain move back hut canvas use get till 8 clock suppose go parade dodge enclose photo dress occasion outside hut l20 hell 20 call look forward see office chap able get leave hope brother get alright france hop ‘ pink like sincerely f. turner please write soon po,0
na_uk_52,dear charles line let know get fine france since good friday morning well bad course comfortable office work lord mayor london see u sunday rest make little speech office might remember mr woodhams mr jones mr cowan boy also girl suppose mr redford retire trench since 13th expect shall go shortly little dugout flood heavy thunderstorm run rotten see town shell piece suppose ever rebuild brother home leave time ago second time get badly promote sergeant seem get fine see ernie smith get still a.p.c army pay corp non-fighting troop hear lot transfer line regiment well time war back old place trench 25 30 yard hun keep bit low address 3343 lance corporal j. davy 1 platoon company 6th city london rifle b.e.f. france might drop line let know get news kind regards…,0
na_uk_53,dear mr wood line let know arrive safely visit several place allow mention place quite oriental front house part look keep repair back allow go give one shock see fine building front go back see neglect ready fall hot day swarm fly mosquito keep one busy dread think like summer seem strange see oxen draw cart donkey pack common sight sometimes go big steamer small pinnace ship boat rough require nerve walk along side barge pitch toss climb ship side rope ladder come easier time mountainous get fine view mount olympus snow-capped peak go motor country day grip side car road awful sometimes room car travel sheer drop side labourer dock greek take morning regular babel ‘ till military policeman use persuader truncheon right leave calm somewhat meet mr cox son yet make know revert sapper sufficient men staff u remain n.c.o.s bring strength promise first person saw gray stats statistical department work together trust quite well kind regard messrs cox slater rogers hunt obediently d.j robertson,0
na_uk_54,dear bertie line let know get forget last write last news tell march hill foot himalaya mountains last october rawalpindi shortly afterwards camp return xmas february obtain furlough fine tour place interest delhi right across india calcutta several letter introduction brother freemason awfully nice people enjoyable time spend day agra return journey travel roughly mile several night train day return regiment place order march 83 mile noushera frontier border british native troop concentrate similar number peshawar far frontier readiness threatened trouble afghan german intriguer amongst noushera cruel place nothing dust heap foot mountain spend several week train mountain warfare word chronic terrific heat awful climbing mile day day transport mule camel rocky mountain pass one bivouac encounter bad water forty fellow go enteric fever typhoid one die others pull inoculate wonderful thing inoculation prove india well spite hard time return rawalpindi fine condition afghan trouble subside time always liable break moment always readiness move time change another barrack rawalpindi april station plain summer heat intense one never go outside 10am tiffin 1 clock barrack fact everywhere dead world 5 6pm sport tennis cricket hockey swimming bath possible every soldier punkah fan swinging bed night hour duty day many men sleep barrack square bed night past week monsoon torrential rain would fail describe intense heat sun drain moisture earth result like live moist fern house kew garden bad many men bowl fever ever since arrive india get two year ago fit fiddle enjoy exceptional health fortnight ago suddenly take ill sandfly fever painful lower form fever carry hospital also find suffer pleurisy bed several day subsist small quantity milk result allow get weak stand discharge ten day get quite alright leave next furlough hill station himalaya shortly recuperate november move march 80 mile big camp manoeuvre several week return christmas march eighty mile five day indian sun different cloudy england every regiment india regular territorial heavily reinforce draft england three draft one consisting nearly 300 men another 67 another 84 bring u nearly men thousand british troop mostly terrier member territorial army eight regular infantry regiment leave india station various frontier place sort rumour prevalent big expedition move next month possible preparation make well indian govt make disastrous muddle fighting come make mesopotamia campaign foe like ferocious afghan terrible price pay life country terrific heat enough without fight every inch way interesting letter mr wood time ago answer recently also one mr price day ago quite picture change must occur staff audit since leave course age limit call upon expect return safely life england seem different altered condition shall glad get home wish could see prospect conclusion terrible war enjoyable time india apart soldier always enjoy although think sufficient make acquaintance awfully nice resident ‘ pindi virtue rank allow privilege wear mufti make much comfortable go barrack tight uniform climate hear regularly wife little one every week glad say well please convey kind regard leave office know trust fit well shall meet many month elapse best wish sincerely harry beaumont,0
uk_na_55,dear percy …i sorry long reply letter hand rather full lately hope mind get kit bag present shall able write short letter nearly run paper envelope shall make next time well dear percy glad know home best health please convey father mother appreciation good wish send receive previous budget arrive send field postcard word must take good time write sheet foolscap delight read since find write interesting letter afraid letter must often bore read letter carefully note news office friend share overseas chief item mention poor old rippington first time hear poor old chap guess pleased see sure excellent idea send luxury way food proceeds money collect office sincerely hope friend france come terrible ordeal safely note bob court several others go brother week also two cousin considerable time thick fighting hope advance mean round hun late news receive everything seem go well present look forward see office soon… easy time one would imagine heat still intense fly troublesome anything elephant cockroach creeping blanket night time chameleon chief pet crawl one body like tame mouse different colour change body suit thing settle wonderful must close percy see paper nearly fill hope mind time please remember home inquire friends… best wishes… private h. bullen,0
new1,dear daddy hope alarm unless know one zepps go hear raid london strand cause heavy causality know saw everyone else house story hear clock strike 11 o'clock bed go sleep 2 'clock o'clock lily servant wake miss willy tell could hear gun miss willy woke poolman tell wake miss willy help mrs willy downstairs awake miss blair stay u weekend saw flash hear bang pop suddenly bright yellow light appear die oh 's alright say poolman 's star shell light appear miss blair poolman rush window look right u zepp break half like flame roaring crackle go slightly right crash field 100 yard away house directly opposite u nearly burn finish cheshunt fire brigade would rather describe condition crew course dead burnt death roast absolutely word brown like outside roast beef one leg knee could see joint zepp bomb aeroplane incendiary bomb lieutenany robertson johnson relic wire wood framework weather beastly mr miss willy jolly people hop well love love son patrick please n't alarm well end well u quite safe,0
new2,dear feel must write dear altho much news tell wonder get shall relieve get letter ca n't help feel bit anxious dear know must felt darling get letter long course know dear write soon ever time seem dull weary without news war dear together one day suppose n't think dear worry unnecessarily know god take care wherever 's darling come back 's feel dear put trust sure wonder cousin get dear feel anxious george news come yet ca n't understand wife n't write hand dear mine sore chapped left hand get several chilblain irritate could scratch bit receive book send dear pleased say dear keep well indeed trust bit fuss arthur week try get army unbeknown parent mr t. think parent ought inform write tell go home hot haste last night guess get fine row wo n't say today miserable anything really never saw boy afraid go bad n't know mrs t. keep say join fortnight age suppose parent could stop n't know whether part hope go jolly good riddance nothing row deceitfulness go well darling n't know much say close fond love kiss love little girl emily p.s cheer darling n't worry quite alright anxious get letter good news paper love mum dad,0
new3,dear gertie write two three time recently may get together busy last week get great amount work much good regard potato food stuff great quantity store fancy shall time yet anyway look like quantity store aboard see tell thing least know tell twice everything sameness kind thing ship everywhere soon shall move get white sea shall look shipping snow fast disappear come across article paper day district say 14 15 year ago bear use roam around hear sic seem nothing around except wild fowl numorous believe salmon numerous certain time year 2nd 3rd may terrific snow blizzard leave ship go away work another ship could get away ship rough night sun go never go dark eternally daylight course tell entire change round new job part ship half time use enjoy robust work much well get see much work away get work put hour n't work away get £1-0-0 remit let know remit another £3-0-0 month let know receive also shall probably send little next month later n't hold paper money bank keep gold come home tell dad shall soon get enough tell give best love everyone home often think ever ted,0
