,letter,year
fr032,13th june 1917 campbell duty david may june 13th 1917 alter time post letter collect middle afternoon get todays news tomorrow get morning usual bright cheery 5 clock-in-the-morning mood break song mood see get good wherefore breakfast afterwards subject great many rude unseemly remark others moreover still rude threaten sing prophet without honour etc. parade take men walk run 2 3 mile come back breakfast bayonet fighting one men jump trench stick german twist knee go hospital march little way musketry fire order end day work take lunch time evening rounder cricket afternoon move mess leave old lady house move house sleep much good room discover one afraid old lady others u consider somebody else ought break news departure much discussion decide campbell one could speak french captain company bounden duty tell decide come away leave last see drag battalion billet officer forcibly whether escape alive know hope david,1917
fr033,12th june 1917 top brigade david may june 12th 1917 present billet think girl school one time anyhow long dormitory several room lead small window roof 3 u room bed beautifully soft think must feather investigate far somewhat afraid stir much none clean whole place matter bed bed take thank lucky star get however morning enough warm water bath canvas bath request much practice really get bath something like balance oneself teacup coffee really live lap luxury old lady mess quiet good deal think look upon mortal enemy scowl every time go really mortally afraid powerful stream language get go dread anything may upset case turn know helpless completely mercy quite easy day today musketry morning practicing fire order time colonel come round ask platoon question see get tell brigade shoot competition last saturday several thing finally come top brigade tell u week ago bottom brigade mine last big attack fairly shake ground account prisoner german afraid men course particular case could see come withdraw number gun order let infantry know fact send artillery observe officer front line usual reason capture comparatively gun reason get prisoner take already wipe gun men go trench smash exist whilst still practically intact evening start play rounder platoon rhodesians aiways rival two platoon always seem equal thing thoroughly enjoy least men seem know two officer dinner go find play cricket wicket consist two old petrol tin bat two piece wood nail together tennis ball play grass anything 9 inch high play suddenly big voice bawl men tell get billet regimental sergeant major notice time tattoo time men billet however saw u calm explain fault everything alright two go stroll back bed walk lane across field get fine yellow iris grow edge small pond never see grow wild name 10 officer send leave get near turn name go think ordinary course event ought get home 7 8 week time david june 12 th 1917 get letter 8 th thank much birthday wish like hope spend future birthdays together must holiday laugh letter post office write letter like liverpool man evidently get tire pass somebody else good though take trouble sorry girl away like wish get infectious thing round neighbourhood make good deal lace pillow buy length rather narrow coarse girl anything well except collar arrangement think would much good perhaps able use piece something send register post must let know whether pay duty much get leave – fancy 10 whole day would ….but suppose count much goodbye david,1917
fr034,11th june 1917 change billet david may june 11th 1917 longer comfy billet another quite good still bad – start beginning morning early clear billet rather go breakfast servant pack afterwards go back hand key give front door key old lady hear pay coffee etc seem pleased able different billet three u sleep one house mess two room awfully small small bedroom home bed norwegian pattern long third bed room mess little suddenly hear 2 3 room little way trot round go back old lady try explain thing none u could speak french find go sleep get fearfully excited flung arm shriek u awfully funny double laughter four u talk old lady beat u easily course nobody could understand last give come away leave explain one u could speak french time calm find would lose new arrangement allow servant use fire time return eventually dinner 9 clock last push account splendidly manage quite different previous push german lose heavily indeed whereas men go forward many place without find german leave – wipe gun write present billet tomorrow david june 11 th 1917 dear get letter 7 th think idea get mr muggridge dog fine one although course make objection principal expect really pleased think chief mad – expect get girl pay half amount get elsewhere sorry many away – work late help wonder kick hubby bed altogether different when… goodbye david,1917
fr035,10th june 1917 concert ymca hut david may june 10th 1917 last night go concert y.m.c.a hut get late place pack sit floor knee another officer nose flatten big drum less bad see none men training course song music hall type please audience anything else would do one officer imitate parson father parson perhaps copy life good especially introduce several reference recent event particularly one two thing road-making another man ventriloquism use home-made doll purpose middle form lean collapse send everyone heap floor underneath usual go staff parade receive orderly sergeant report battalion present turn guard look prisoner guard room go bed today do nothing except go church first go report everything alright battalion yesterday march field outside village service hold officer play cricket remainder brigade afternoon go want write letter post collect especially early today expect letter tomorrow shall probably able post one next day david june 10 th 1917 dearest like letter write train read feel though close write letter date 6 th come one mum anyone tell watford way write guess pious relative mine sit round long face sigh condole imagine already half dead buried – idiot say dividend £11 arrive shall book sound alright doreen bolt reg know love understand see good could except make mighty miserable afternoon field burn letter beastly job pocket full bust nothing burn goodbye david,1917
fr036,9th june 1917 tremendous bombardment david may june 9th 1917 tremendous bombardment yesterday even two three u go watch flash shell burst today quite quiet expect do want stop orderly officer today see men breakfast go parade drill bayonet fighting way give men change start relay race half platoon half two men back two others pair try get good many pair go campbell get back go pair men pull easily moment adjutant regimental sergeant major walk two big men regiment impudence challenge u three turn first one go get second third end four u land seething heap ground men time stand round circle yell delight struggle come fray minus two button collar stud leave platoon tender care sergeant go inspect billet cook house officer servant quarter last noted always especially dirty know invariably strafe anywhere afternoon shooting competition orderly officer go attend office afterwards miserable offender day come judgment go concert men give david june 9 th 1917 dear letter today ‘ speck get two tomorrow hope anyway today glorious sort saturday ought take river lovely – lovely anywhere goodbye david,1917
fr037,8th june 1917 censor platoon letter david may june 8th 1917 easy day today parade drill bayonet fighting musketry morning practice march past salute afternoon company practice bayonet fight competition come get two section pretty good hop one come top company battalion platoon think strong company present get 240 men number constantly change get men take away sort condition thing headquarters send along say want men train stretcher bearer scout pioneer sniper fancy business always add must good men consequence always send men easily part sort thing awful nuisance some-times let men go particular job well indeed split section today man platoon one special job get punish something return platoon campbell without say anything promptly put one best rifle grenadier place course object get back still thats sort thing go censor platoon letter rather astonish fellow spend money pay gorgeous useless handkerchiefs wonderful work art shape postcard cost anything franc suppose send home registered post know perfectly well wife must work cut keep kid feed good news today expect time hear gun pretty silent day start little back german catch avengeance time david june 8 th 1917 dearest another letter today 5 th glad mr muggridge get well wish girl catch thing like mumps measles wish still near hope get back quickly work also get miss hebblethwaite course go accept chief er let men write policy good make appreciate thing fancy ever dream make grimace image unlady-like put tongue even come think really believe remember – get kiss way punishment know whether get bruise horse look sort place want kiss awfully badly alright lie – head tonight – must cuddle occasionally. goodbye david,1917
fr038,7th june 1917 colonel idea mine david may june 7th 1917 spend first part morning drilling sergeant take men officer go field work various imaginary problem might come different time 4 u one group colonel come along ask idea thing come turn give idea remark seem command division instead platoon somehow colonel idea mine never seem exactly agree perhaps colonel anyhow discussion campbell agree scheme go back men practice march past expect somebody come inspect u show pace somewhat different march past front platoon rank feel bit lonesome splendid news come day gun still thump away expect german still enjoy parade afternoon check organization platoon afterwards lecture colonel however two men punish catch drink yesterday dirty stream course awfully hot use water go stream careful water always much bad two catch pretty hot read good news begin talk tradition regiment get carry etc etc pretty heavy thunderstorm evening make thing much cooler david june 7 th 1917 dearest get monday letter 4 th nice long one look go nightmare hardly know trench case go acrobatic feat like saw glad obedient get coat want see goodbye david,1917
fr039,6th june 1917 wonderful time david may june 6th 1917 pretty early morning parade march 8 mile finally halt canal sort wood bank exactly wood number tree lot undergrowth quite ideal place lie hour canal shallow enough anyone walk across possible everyone bathe bath know shallow mr muggridge consider sort place warn good bottom muddy men soon stir water clear say least afterwards lunch 2 hour lie shade u asleep bring cooker fell march back tea serve men beg first hour march awfully hot day start way back long thunderstorm begin come behind make thing somewhat cooler rain slightly practically way back make march rather pleasant otherwise get back half past six gun thud away last 2 3 day like anything german must quite enjoy david june 6 th 1917 dear letter today expect monday letter take 3 day get tomorrow today 2 hour rest tree u go sleep enjoy day dream wonderful time switzerland rottingdean bramber bunker g.p turn little bit heaven hayes together small castle sort wonderful thing happen u course happen come true know must goodbye david,1917
fr040,5th june 1917 mascot david may june 5th 1917 start route march morning 7 clock march away several mile halt give platoon practice give firing order awfully hot dusty manage get field shade get men along hedge get equipment really want good deal practice seem really though one expect much see little train get send add conscript great majority would never soldier war therefore expect keen man spend life army march back 11 clock short break go bayonet fight preparation competition week ever tell mascot perhaps say mascot apart battalion mascot innumerable dog always around weird wonderful breed saw one even trench battalion mascot small black pony size newfoundland dog pet sundry feed sort thing men round high touchy spoilt child delight name coal box whenever competition match sort take along assist company mascot ugly yellow kitten ever saw find trench mile anywhere train away south move carry one platoon box head hang hole remind special nickname officer sandy german send number big shell morning afternoon outside another village way consequence number people clear come idea get harm way afraid set fire something good deal smoke one time however artillery compare gun gun still gun afternoon ncos lecture rather lesson musketry go realise training get school g.p good wish david june 5 th 1917 dearest tongue arrive today extra special hug last night arrive must hug ought well – help letter today suppose today letter yesterday perhaps go without tomorrow sunday letter let hope manage write one hope mrs muggridge get well – oh want goodbye david,1917
fr041,4th june 1917 censor information david may june 4th 1917 get letter please tell mr muggridge present surroundings awful fact quite good fair sized place knock shell please thank also cutting ever trouble weigh letter never one overweight constantly get order censor letter allow mention anything seem either move move sort news future shall write hop find best health etc etc. mention sun shin rain fortnight ago last do way convey information 4 clock morning march rifle range spend whole morning firing bugle band go best wake whole northern france think probably succeed last night brigade padre call mess hear go march ask come sure enough morning although parade 5 clock take breakfast u get best could see ham sandwich one hand check man shot brigade shoot competition week officer shoot men finish several u fire see send fire battalion good shot mean send another fellow shoot company badly even fire competition shoot apparently two company put pace musketry general general make mess thing consequence take ncos special instruction evening expect shall musketry musketry musketry ever ever word without end david june 4 th 1917 dear two letter today 1 st 2 nd last one take two day get dear naughty little girl go buying thing spend money know tongue must particularly expensive really fee really well mess ought see amount mess bill personally see give thing mess especially expensive thing like tongue send mind tell know look tease coat – – know threaten thing look hugable usual resist come along show goodbye david p.s tear bottom perhaps put something oughter,1917
fr042,3rd june 1917 middle bath david may june 3rd 1917 get morning idea go church dress orderly come along say church parade never tell one minute next little way army colonel want see officer ncos 10 clock glad way pretty late give time turn give u lecture musketry hour general send along order musketry everything give way musketry moment give ncos belonging platoon practice give firing order last lunch time lunch nothing thought would bath one since middle somebody else want see men time sergeant call key hole general come inspect billet afternoon say delight hear concern orderly officer sort officer moment clothes well go away find really want go get letter 31st good mr muggridge ask write bathing warn german put wire canal quite likely please tell careful certainly intend fish bottom hook mine canal etc bathe always number aeroplane moment sit field stroll away village count dozen later german send 3 4 shell suppose incendiary set fire farm building mile village blaze away like anything beggar german mean david june 3 rd 1917 dearest wake morning look watch know 2 hour get still asleep arm back look nice want squeeze kiss wake see time kick usually accord letter fact wake insist cuddle head lovely finally get tea due parade glad letter good mrs muggridge feel quite important really think interest anyone except perhaps yes feel heap hour arm owe away nearly 5 month mean get compound interest soon get home goodbye david,1917
fr043,3rd june 1917 buzzard cake david ginger june 3 rd 1917 ginger david sister mr ethel linn live new jersey usa dear ginger thank sort good thing first another buzzard cake get day ago disappear quickly indeed buzzard cake think go even quick others yesterday chocolate box cigarette arrive time although course chocolate road longer base naturally delay however everything come splendidly although box good deal knock morning paper come thanks ever much everything pass cigarette platoon think quickly share jolly good send men like cigarette well anything think fact know constantly ask folk home send move right away end line quite long train journey take day time really travel pretty fast time proper billet room actually bed – proper bed clean sheet blanket eiderdown complete first bed see since first night try get full value sheet blanket eiderdown top heat terrific stand simply throw sad next morning another shock – servant bring coffee bed make people house serve quite nicely sugar milk etc moreover spoon stir may say last somewhat luxury mess usually raise 2 3 spoon 7 u know whether tell bathing last place weather hot take company several time bath day move go swim canal 2 3 mile unfortunately one men get drown swim bath along edge canal must slip deep water disappear find everybody nearly dress nobody claim clothes guard 8 men swim canal several sergeant watch bank yet nobody saw hear go expect mum tell bert muggridge kill apparently attack get german line hit shell yesterday go rifle range 3 mile away get horse rode never horse shy every mortal thing every road junction would stop read finger post think side road go direction home promptly try turn road however persuade go far want turn back know go home go along well bit disappoint turn go longer way round revenge trot along quite well road ride across country every inch cultivate saw white canvas horse trough promptly plant fore foot stop dead stop quite suddenly roll head land road sigh relief turn round begin quietly graze side road add insult injury tell german send 3 4 large shell outside village set fire something think smoke probably farm building beggar ever david p.s platoon sergeant thank behalf platoon cigarette,1917
fr044,2nd june 1917 bayonet fight competition david may june 2nd 1917 5 clock morning bayonet fighting competition hop one section win one rather good others perhaps improve musketry hour go route march lunch time lunch discover shoot tomorrow doubtful whether would target fire say would go range find get horse range 3 mile away go horse shy every gate lead field anything least suggestion white every road junction would stop read finger post think side road would eventually lead direction home would promptly try go direction however little trouble persuade go far range arrange target start back horse know road back disappoint rather turn take longer way round go along fairly trot fairly well road go across country every inch cultivate come white canvas horse trough side road plant fore foot stop dead stop quite suddenly roll head land road sooner get back turn round sigh relief begin quietly graze side road add insult injury tell get knock dust come back managing sit rest way since find two people trouble horse mind much come course 5 clock tomorrow go shoot sunday disgraceful think shall ask maud write colonel give opinion certain ought effect stop war sunday david p.s hear early shooting go church instead necessary maud write june 2 nd 1917 dearest perhaps would like write dxxxxxt – get letter 30 th sorry hair guess worry also fact holiday wish could take away somewhere bert – think corporal right hebblethwaite wrong corporal spot time go bed immediately dinner yesterday room always anxious get always wait always say nice thing cheeky thing sometimes always know thats help goodbye david enclose letter ethel want back chocolate mention turn today 6 week road,1917
fr045,1st june 1917 bath machine david may june 1st 1917 go bath day towel strange relate provide bath machine along canal middle bathe two lady come walk along tow path get men water quickly send postcard unfortunately could get two arras postcard scarce none print selection poor please tell ethel try elsewhere short day today morning bayonet fight 1 hour take fellow lewis gun work afterwards inspection colonel come go short march instead afternoon men pay last inspection look boot finish day go town get postcard succeed unfortunately go ambulance come back lorry one thing nearly always get lift least near main road distance behind line simply stop motor ask lift far go climb away go one fellow funny experience yesterday apparently last night german drop long range shell outside village hear asleep old lady billet come room minute bed frighten people house mess stay since war start german officer billet saw german drive british david june 1 st 1917 dearest lxxxxxn mean like enclose possibly guess think might write full awfully sorry mr muggridge still unwell bad unable sleep course help make thing good letter come two batch today nothing first think go another day without letter come 2 hour later glad look write make rush know awfully busy go without write letter mrs muggridge sorry send guess letter upset would good write think like base censor impudence read letter rather letter never open general congratulation good work division do – good many big fight get cuddle close get sleep quickly goodbye david,1917
fr046,31st may 1917 army funny place david may may 31st 1917 new corporal sent platoon bother sergeant platoon commander no.6 platoon pass give russian order something always strike awfully humourous know little army work put charge men army life see much war tell funny still take seriously tell really army funny place morning rather last night route march order start early go bed cancel far officer concern except one u go colonel call staff ride call ride nobody tell everyone walk include colonel walk little way find windmill sit discuss outpost position front u drift use prismatic compass colonel ask sort question walk round see actual ground discuss outpost another discussion come back lunch parade 4 clock general inspection must cut hair powder nose later general inspect u suppose everything alright nothing say 4 clock tomorrow go shoot suppose well go bed david,1917
fr047,30th may 1917 daydream david may may 30 th 1917 dearest get letter 27 th lovely long one write home sunday darling like daydream polish hall guess give day – partner business day whenever want guess must see small dress make case order boy misunderstand get girl hope persuade mr muggridge go west wickham really ought look spot case manage live hope good day awful pity sleep well probably cause half trouble miss posy yesterday send letter today must write mum goodbye david may 31 st 1917 dear letter today suppose manage get mrs muggridge go west wickham hope splendid day thoroughly enjoyed goodbye david,1917
fr048,30th may 1917 servant excellent coffee david may 30th 1917 servant come along wake morning bring coffee excellent coffee make course people billet two morning good seem make comfortable although hardly see tell servant could put clothes etc sort bureau act chest drawer send coffee quite accord mess hundred yard away although quite good class people people make quite welcome practically run place billet beautifully clean think people generally seem welcome troop think speaks rather well british course 2 year long enough fact usual teach nearly inhabitant speak english yet see post card please tell ethel get soon morning bayonet fight first sack musketry practice one small part attack afternoon parade go shoot range distance away suppose take 7 clock think shall-finish march 3 mile range one platoon start fire colonel way return leave usual afternoon figuratively speak take scruff neck hold mankind specimen officer start call one side point emphatically distinctly men look though drill whatever unless pull whole platoon would go blaze see walk board across middle ploughed field perhaps right appearance anyhow argue next thing happen tell suppose lot recruit teach fire control never quite know begin colonel always question exactly want like question get snappy question ask however start go short take whole thing hand truly thankful go time give section commanders bad time turn finish turn say must fond word must give platoon practice fire control say carry judge distance take much long platoon fire platoon another get chance expect shall go probably tomorrow march two platoon back leave others still range david,1917
fr049,29th may 1917 4 clock david may may 29th 1917 4 clock morning company orderly officer see men breakfast go route march start march band playing bugle blow guess good people bless u wake people billet speak english word take time many repetition make understand move around 4 clock servant would come time march 7 8 mile country around pretty flat everywhere imagine winter time pretty dreary plenty mud ditch dug everywhere drain land present however bad number tree everything green get back 9 clock short rest parade bayonet fighting drill saw dinner good afternoon orderly officer take company bath bath 1 mile away start four clock wash near 7 get back see fair day since read censor 30 letter bed david may 29 th 1917 dear letter today course really expect one read three come yesterday instead darling wish could kiss goodnight say one fellow b company go leave evening land end december perhaps certain amount luck turn come couple month then…well come hug see image really like write bed usual and…oh alright must get must goodbye david,1917
fr050,27th may 1917 love letter david may may 27th 1917 dearest find two letter wait today 20th 21st 22nd combine two lovely long letter say think able write snatch every opportunity really dear little girl ever know well perhaps bit down-hearted lately simply think wonder know want comfort thank much cutting sit bed writing time keep pull well suppose must way usual nice david may 28th three letter morning wed thurs fri loving letter darling last night lovely new vest button lay want insist cuddle head press close nest get hot throw blanket etc turn back arm round way like use go sleep like later wake say want cheek mine want hold quite close drop sleep morning wake 7 still asleep arm wake get hurry glad mrs. muggridge well wish could get tremble fit look letter lot heavy work much knock dear goodbye david p.s walk field morning intention read whole collection letter burn pocket full much room must always carry fear people see stand read find simply burn present except photo still,1917
fr051,27th may 1917 train journey david may may 27th 1917 3 clock morning get everything packed load wagon march time get breakfast fact everything pretty comfortably march station get men train load wagon baggage find wonder wonder officer travel 2nd class carriage certainly window miss one compartment afterwards find livestock walk still whole coach 2nd class carriage whilst wait train start amused play cricket alongside train bat consist piece wood ball knob brass bed post wicket old oil keg pair old boot top match go time train suddenly decide start scramble six compartment four begin play card start read drop sleep wake 11 clock find still travel continue clock stop something go next truck food lunch go stop two occasionally afternoon special incident except one time b company servant make tea jug without milk sugar bring u hearing officer try raid compartment beat 5 clock come sight sea look lovely seem almost though way home awfully tantalize know home across strip sea yet far run along sea time turn inland finally stop 8o clock leave train march 2 3 mile village – fairly big one way pass number australian lot seem go way get bad name number drunk roll along street road cobble stone pave although short march notice difference expect march play u bit get use saw men billet get wire bed fairly comfortable go find mine old lady open door evidently expect say anything merely bow lead room go straight away small room bed bed deep spring mattress sort bed top clean sheet eider-down first bed see want get waste time find mess supper bed 12 clock david may 28th 1917 bed last night good try sleep sheet blanket eider-down top get full benefit waste heat terrible stand long throw except sheet still seem like throw away good thing do much today rifle inspection morning afternoon drill 2 clock able get postcard arras except one enclose try please thank em printer pie good send david,1917
fr052,26th may 1917 pretend german david may may 26th 1917 5 clock morning start german time attack remainder battalion idea drive big wood two platoon wait inside wood retire slowly position platoon another back quite good position machine gun represent man tin bang stick wipe anybody come near also put barricade brushwood number tree cut make quite strong place long wait enemy appear shoot several time close u advance heroic way tremendous imaginary machine gun rifle fire get close barricade make mind rush sure dead long bugle sound cease fire also say war least morning officer collect round commanding officer colonel way leave england give explanation happen point side wipe c.o give idea thing go back lunch afternoon nothing much suppose move middle night another last inspection also inspect men boot come away one sergeant ask might speak boundless generosity goodness heart permit appear 2 month ago wife write say want anything although write several time since could get reply could anything trouble trial platoon commander also say trouble much wife youngster 2 year old thing trouble seem make allowance day pay question suggest write one two people order see wife live place see would bed david,1917
fr053,25th may 1917 man lose swim david may may 25th 1917 threaten early parade morning order take men bath cancel last moment send refit new clothing consequence parade 9 clock march ground way yesterday halt yesterday lunch disused hut close servant go find table couple wire bed lunch style lunch take company bit canal pick swimmer non swimmer fix two point limit men go put several swimmer swim keep eye men non swimmer bathe along bank men nearly finish start fine swim nearly dress report come along suit clothes owner make enquiry call roll sure enough man miss look everywhere go canal could find trace non swimmer bath middle river several sergeant bath watch men bank apart picquet swim water yet nobody saw conclude slip without sound deep water carry water current march back three officer stay behind make enquiry find trace david,1917
fr054,25th may 1917 north belgium david may may 25th 1917 get hold one private bert platoon reason give full account happen certainly tell men write usually talk weather health people home little else really good thing doubt cross thing write one men could probably give good account hebblethwaite write get name man think would probably get information sorry mrs. muggridge seem bad scarcely wonder hope get much sleep possible night otherwise ill may able write next two day perhaps three move post tomorrow believe go right north belgium time get train never quite know get dear would give anything arm goodbye david,1917
fr055,24th may 1917 hebblethwaite david may may 24th 1917 enclose hebblethwaite reply letter give information appear near bert time bert must do awfully well get far sorry able get wish near able thing goodbye david bef france 20th may 1917 dear sir receipt letter 15th instant pte h.g muggridge afraid repeat statement mother viz – kill german line three four men platoon say saw lie dead probably know personal friend mine therefore imagine make possible enquiry afraid tell anything sincerely sgd r hebblethwaite 2 lt,1917
fr056,24th may 1917 lazy day david may may 24th 1917 lazy day today officer go outpost scheme one small party censor take company route march march river 2 3 mile away instead march ordinary way divide company advanced guard near river find small wood rather large group tree take men sit circle round read letter congratulation general army corp censor read some-points recent fighting afterwards give practice get gas mask take hour really give fair rest move take road mark map second class road little second class road begin get bad bad become merely two cart rut finally end field go bit get another second class road strike main road get back time men dinner afternoon divisional sport battalion get five prize brigade fairly well know whether top david,1917
fr057,23rd may 1917 german prisoner david may may 23rd 1917 today picnic tell u route march really mean picnic start 8 clock morning march hill far away along dead straight road number french road perfectly straight course line side tree nearly always pick road see long line tree know line road think originally make napoleon move troop use purpose keep repair little group german prisoner generally speak 20 30 group tommy fixed bayonet charge look quite tame quite good time pass nco nco charge party stand salute wear old german uniform dark blue patch leg trouser give somewhat dilapidated appearance happen overcoat work french huge yellow p.g back go mile finally march tiny village halt small wood outside front fairly big chateau chateau divisional school life man command belong regiment sort pay call river run part ground usual form large lake split men two party one could swim one take bathe go swimmer lake quite deep fact touch bottom anywhere one party look get cramp hung round another fellow neck course go far yell three men get hold get fairly easily men finish officer swim lovely – simply dive bank water quite warm take men back wood dinner cooker u really splendid thing cook whilst move men halt hot meal ready dinner practice get men gas mask quickly fire march back get since go walk sit wood write david,1917
fr058,22nd may 1917 search billet david may may 22nd 1917 yesterday hear billet officer several billet town empty another fellow go see go several rather fun interview various lady whose room man would ask billet officer would reply would ask another question think must speak french perfectly sometimes could get whole sentence without even pause think even could understand say would reply energetically would go begin throw arm head fairly dance stream word flow faster faster think lady could really speak french well could scarcely understand word say 3 4 house visit rather small keen go although certainly bed know long bed sleep prefer valise hut scatter decide stay one place tell go l5 find usual archway courtyard inside five small house much enquiry much waving hand part five lady talk find four five house numbered 15 fifth one 15bis one room officer occupy another place another lady show u room bring bad photo sir douglas haig weekly paper another prince wale go rapture go route march morning rain hard let u instead spend morning fit men equipment good many take trouble tighten strap let carry uncomfortable pack make difference march musketry physical drill afternoon brigade sport preparation divisional sport go opposite direction sit wood like get away army often possible hut drive chateau send one time must fine place build middle wood double avenue tree lead front gate house hut build drive course whole place neglected stable close u build round big courtyard present occupy men another battalion hope get postcard censor stop david,1917
fr059,21st may 1917 learn salute david may may 21st 1917 mail today therefore letter expect one really still always anxious get letter rather busy day today start route march 8 9 mile course men march badly day country round fine leave simply undulating agricultural country patch wood middle wood halt ¾ hour take pack go field outside wood musketry rain pretty heavily morning dry time get back get back lunch afterward number officer amongst go work outpost scheme practice whole lot walk bad weather clear whole thing simply discussion various point outpost scheme course vary every different piece ground two men opinion always reckon whatever scheme meet approval officer happen command whole thing get back tea afterwards go learn salute particular general say none officer division salute properly wherefore haul teach forefinger come one inch less right eye regret say one fellow whilst undergo instruction treat seriously occasion demand pull protractor order measure exact error case send postcard assevillers one village go soon come trench two view give good idea ruin village look like billet one place live cellar one wrecked cottage perhaps dugout one heap rubbish go peronne way railway course near combles view give excellent idea landscape anywhere near front line trench campbell go paris another man warner 4 day leave could get french leave shall want holiday unless goodbye david,1917
fr060,15th may 1917 terrible news david may may 15 th 1917 get news terrible news dear wish could way something lighten grief seem absolutely helpless think do best thing write bert platoon commander address give find likely particular anyone else might also write adjutant reply likely formal nature deal whole battalion could write man platoon good still section man perhaps bert mention letter might get particular would good even platoon commander may spot time hepplethwaite friend bert perhaps could get news poor mr muggridge poor make ill worry work course worry write goodbye david,1917
fr061,15th may 1917 month turn leave may copy david letter david may 15th may 1917 get morning free shall able catch post people still go leave go rate two fortnight course month work turn leave stop get morning thinking go rly usual find two u actually require morning go relieve others afternoon accord present plan march back old village sort attack training way get whole lot night operation go enjoy later wander camp lie hillside lovely daydream think time rottingdean sort thing make longing home worse goodby,1917
fr062,14th may 2017 corner colonel may copy david letter david may 14th may 1917 expect last letter get perhaps 3 day tomorrow post go shall bank camp railway wednesday thursday shall road back old quarter shall able post letter to-morrow shall work usual next day start 5 a.m. mean course shall clock last night wake find terrific thunder storm go gale blowing lightning almost continuous light inside tent although course completely shut expect tent lift blow away every second find suddenly float valley sort tidal wave however tent hold although sheet thing blow outside really get little water great many tent flood last 20 minute perhaps tuck go sleep 5 morning orderly officer dismiss one guard get ready take company wash stream find order suddenly alter spend morning range drill day training afternoon another outpost scheme usual get corner colonel ask sort question prepare ought give fair warning sort thing might answer puzzle well go bit disgust expect leave much relieve clear get back camp 5 saw men tea alright inspect mount guard dismiss old guard inspect platoon rifle dinner middle dinner go orderly sergeant report company present go colonel report battalion present wait turn guard visit prisoner sentry go bed get parcel mum to-day sock dear make really want run rather short must go guard goodbye,1917
fr063,12th may 1917 fast horse david may may 12th 1917 dearest much news today go usual railway morning train take u march send work bridge day fill hole chalk get quarry close load wagon unload afterwards glorious day day simply long away everybody else right away country lovely generally speak work german aeroplane sail across every get turn back gun always take lewis gun u case get close enough take shot two yesterday different time gun go awfully difficult hit machine high like afternoon could spar send back watch outpost scheme do company whose turn training spend whole afternoon wander three others make rifleman act sentry etc uncomfortable ask question see know work much way question make uncomfortable artist get back camp colonel give u idea thing do course different way do whilst talk mention think probably night train shortly tea get horse go two others ride time several race across field fast horse none fast usually keep front whilst one fellow ride well come behind yell hunt call call horse go faster simply make horse go worth however manage keep really thoroughly enjoy ride decently must teach go together know like get back time inspect men rifle find letter wait 7th yes sometimes seem short time since together others longing seem year still year likely get understand relation thing quote scripture letter matter make sense must do show perfect mean writer letter stranger course refer miss capel laugh description chapel service mum remark go bed mean two tent empty others play card ask put head nest dear goodbye david,1917
fr064,7th may 1917 watch one flying german line david may may 7 th 1917 dearest 5 clock morning take men river wash. actually main river small stream mile away run inch deep make way stream spread form shallow lake marsh must million frog think night croaking sound like shrill whistle mess bill april bring last night £5-18-0 light last month still think much however expect reduce much hear go short certain thing home potato etc hope thing bad paper rumour would u believe expect thing course always get dearer work today saw one airman fly german line fire time watch little suddenly turn end dive straight turn round round come think hit although shell seem burst near fall considerable diatnce suddenly right fly little way loop loop fly back line sight suppose way put finger nose german 5pm get letter may 1 st would give anything invalid seclude spot beach invalid believe somehow invalid would suit anyway wait till get chance invalid shall take long time get well think think tullie thomson much delicate another youngster say ansteys indeed strange nurse think want place see reason mum read great scourge leave entirely whether take think fit morning platoon drill take turn people like guard smart smart everything do accord book matter fact believe anyone event amongst senior officer know great deal drill feel rather sure thing artist train come well direction drill rather another company attack follow criticise awfully good find fault people thing afternoon railway clean track put sleeper evening go another rid lesson goodbye david,1917
fr065,6th may 1917 rid lesson band playing revolver firing may copy david letter david may may 6 1917 to-day sunday start railway morning find canadian engineer work sunday send back consequence men day go rid 10 30 rather go riding lesson rid lesson morning fall transport officer sergeant give u lesson rather good teach fellow especially sergeant think know horse inside moreover rid instructor afternoon platoon play another football play go watch band play outside tent one men write letter tea band play lawn remind funny remark taylor make march somebody ask sing say sing back creaking. evening revolver fire start leave none time two kind go home also leave give 4 5 day stay france interfere home leave turn come also officer wife allow come across spend 4 5 day husband 0 marry course go top list near bottom still raise one hope see england several observation balloon round one within hundred yard camp seem particular attraction german aeroplane yesterday three attempt burn first two fail altho observer jump come parachute third time late evening german make balloon observer jump balloon haul time make straight next gun fire time second observer jump german circle round balloon moment two burst flame look though wreckage would fall observer slowly float hear to-day time men get away alright post to-day must write mum write 3 4 day goodbye,1917
