keys,letter,year
pw016,23rd oct insurance lecture 23.10.18 worry paper influenza germany certainly case fee ward fee precaution monday winter session insurance institute commences robertson joint general manager president lecture monday message hop probably lecture unorthodox word use mean type piece address lecture : nov 25 romance insurance comment interrogation regard amuse dec 1th note insurance share jan 20 land problem scotland : bearing upon investment feb 17 africa development thirty seven mar 17 road limelight view programme sound interesting eldest boy bullock army month use scout keen soldier description wind word drawback army knowledge notice you. descriptive british add short paragraph outline current event plan page re-knitting coat muriel jump resemble coat iron sale anyone decide present ps progress,1918
pw017,"21st oct fundraise inspiration 21.10.14 friday wet thus spoil gardening bright bright inspiration astonish thought run type policy type consult inspiration mostly agree therefore downstairs chief paper follow : st dunstan hostel blinded soldier sailor lady clerk staff n.a.co cheque organization nd december propose raise money following : collection raffle article require suitable raffle hand type dept sale second-hand require hand type dept unsold return donor sale hand-knitted sock scarf bedsocks woollen garment suitable gentleman civil life soldier sailor article suitable xmas present sale hold board 29 nov hour cheque £162 st dunstan help receive branch national guarantee royal scottish head marine dept west end branch £100 every lady many article friend forget lose sight protect set fill page businesslike company belong acquire five flu £100 delight £20 £100 muriel coat undo part rain bustle indulge day-dreams wonder guess sit fire study various newspaper add postscript domestic nature lecture hearer awake mind cheek safe distance ps northern belgium northern france clear progress woman party grow strong indeed 6,000,000 woman voter election mind viz censor",1918
pw018,18th oct northern france clear 18.10.18 muriel : thank answer friend spend weekend opportunity cousin name additional pleased able help safely eventually scheme copy always certainly cheerfully part school teaching amuse appreciate lecture bognor many sing praise bungalow actual matter right perhaps sound romantic essential fact itslf setting sure confirm it. add postscript general censor cut approve spend weekend weather hop gardening grass cut month ps paper previous best ally ever since beginning northern france clear western belgium ally beautifully everywhere else,1918
pw019,16th oct content food 16.10.18 thurloe contain list weigh approximately 15 lb pack sometimes content slightly alter b lb beef 1 ½ lb biscuit ½ lb vegetable ½ lb cocoa 1 lb tin ration 1 lb milk ½ lb tea 1 lb lyles syrup 1 lb tin milk 1 lb rice date ½ lb dripping margarine 1 pot meat 1 lb tin jam 1 tablet soap 1 ½ lb biscuits 1 lb tin ration 1 pkt quaker oat grape nut milk pudding 1 lb tin sausages 50 cigarette 1 lb sugar 1 tin sardine 1 lb suet pudding 1 tablet soap ½ lb chocolate 1 lb tin herrings 1lb tin veal ham beef loaf 1 lb bean 1 pkt quaker oat grape nut milk pudding ¼ lb cocoa oz tobacco ½ bacon 1 lb corn beef c 1 lb beef 1 lb tin ration 1 lb bacon 1 lb tin beef 1 lb bean 1 lb tin irish stew haricot mutton ¼ lb tea 1 lb biscuit 1 lb tin milk 1 lb tin jam ½ lb tin beef ham veal loaf 1 lb tin pork bean 1 lb biscuit ¼ lb tea 1 lb ration 1 lb sugar ½ lb tin drip margarine 1 lb tin meat potato pudding tripe onion 1 lb rice sago tapioca ½ lb cheese 1 lb tin jam tin fruit date 1 tin sardine 1 pot meat ½ lb tin margarine 100 cigarette 50 cigarette 1 tablet soap 1 tablet soap ½ lb veal ham beef loaf ½ lb bacon list store discovery coat muriel wide afraid great part undone fortunately undo remember trafalgar square represent battle field dugout buy loan million money require everyone money add postscript censor cut approve ever watford pratt censor mean add something saucy end minnie capel eastbourne weather ps ally allow armistice unconditional surrender country surrender thus apparently others consider,1918
pw020,15th oct tin liver bacon holzminden oct 15 dearest third card month claim lose capture nuisance claim holiday one…well holiday best behaviour obviously g.m wife behaviour restrain somewhat officially excellent bungalow forward possible unofficially lace sketch detail regard beach hut 6 sketch except often express volume naturally onwards live state jumpy nervousness awesome nerve shattering soul destroying never-to-be-forgotten-volume express previous feed join mess six certainly improvement although anyhow deal less special job pretty light great variety eat lazy prepare number without din dish fellow steak kidney theory practice tin liver bacon kidney army ration baked bean mixed pretty fairly cook strangely luckily cooking discourage great part somebody wonder decently serve meal eat decently lay table sit table ordinary question teaspoon somebody request loan knife carefully less scrap stew side plate hand scrap necessary knife spread butter likely heaven snapshot,1918
pw021,14th oct fit martyrdom 179 14.10.18 monday friday tram part school teach shock minute however whisper tragically need admire him. shock friday part 3.0 wonder commence lecture orator least help smile chapel sermon although speak ever estimation general manager plenty early catch 11.20 holborn jersey helen return saw auntie fit martyrdom suffer periodically attack listen 10 minute burst laugh improve attack mend catch 6.0 balham knitting writing remind fit account worry able unravel mystery pas fact upset account confidence point pop carry fine business woman health guess pass everything writing business worry bit promptly worry mother queer either shortly differently worry case delighted management exceedingly near fact wanting peter common afterwards streatham common extension charles webber late postscript case censor object either xmas spring late return to-morrow balham to-night help pack return to-morrow bye muriel friend forward construction direct board education reduce number store censor,1918
pw022,11th oct fight 11.10.18 balham daughter tuesday meantime quiet enjoyable knit event excellent newspaper calculate late possible date 31 st extra special reason central prisoner committee food shortage list list mean copy to-day behind article lose en route meat butter grease sugar ern bring date 15 september reply briefly bring friday believe chocolate coupon charrington store food without permit certain number month exchange prisoner believe everyone fight goodness ever continuously postcard mitchell advanced building construction muriel able board education quick batsfords couple month permit reach late aircraft standstill lot amongst bishop bye neither a1 include cousin suppose especially american pour mind bullyrag part portion shock lecture point lesson gorgeous art study frame flooring hall something beeswax grand exercise ern snapshot,1918
pw023,9th oct doctor 9.10.18 wet weather mind excellent dismal eleven xmas wonder perhaps spring betting peace sign 31 st high bye whether right expression mean cornwall devon harris mother end balham till promise helen jersey to-night stanley fatter ever allow direct pleased add postscript general censor cut approve forget mention stanley lot datchelor study doctor scholarship particular friday paint paper bedroom luck request hand everything p mention apparently central power peace ar rate armistice censor result fighting fierce ever cousin bert thick fight censor fortnight ago,1918
pw024,"7th oct trafalgar square 7.10.18 plan weekend thus : garden winter garden knit cemetery dig grave loose frost helen jersey billy ago winter happen : wet wet dismal glorious wet foot daughter cold pleased instead garden practice domesticate beeswaxing grand experience spend darn hole bognor almost remake pair stocking helen lengthen jersey mend gaiter helen red flannel knickers cap georgie xmas relation near liverpool happy uncle happy retire balham till alone since wednesday right chapel lively anniversary something always special occasion wonder whether music conductor exercise lung choir massey hampshire return 14 inst add postscript current censor approve cut p.c cut newspaper canadian soldier australian enter bethlehem remark reckon shepherd watch flock grand trafalgar square soldier square battle field trench land gun remarkable bank buy bond purchase something £20,000 worth need gun convert bank unfortunately sufficient spare spite increase gun aircraft gun realistic wonder rusty fire late dreamt",1918
pw025,5th oct bowling green ginger linn holzminden card 14 oct 5 since dunno address everything braunschweig hanover border sometimes delay charrington thank indeed jolly live card american engineering record mar 14 21 st july 15 left interesting contain others regard ball bowling green straight sound but…well many sleepy pear tomato youth scarcely credit sorry obviously improve snapshot,1918
pw026,4th oct bonus double 4.10.18 fearfully excite disjoint reason paper enough stand head include highly respectable respect chief owe fact bonus double extra beginning july bonus 12 ½ % addition standard salary raise 25 % £150 50 % second £150 holiday monday £22 wait gracious acceptance 1 st sept however bonus sound cheerful previous answer description sheet others laugh heartily settle certainly linen unique least form education general add postscript censor considers cut description barbed-wireitis sure extra lot fuss generally return wonder become puffick shadder company sad relate winter clothes somewhat tight comfort thought fat enlargement photographer kill cooking perhaps awful understand viz meat sugar butter matter red cross balham weekend cemetery helen jersey child winter large putney fresh mould grave commandeer fearfully ps general situation standpoint ignorant civilian mind excellent,1918
pw027,2nd oct field water 2.10.18 174. teatime rain maid boarding include sit knit early golf link 9 hole exciting pass dome 100 princess charlotte use lunch mile field water less sad afraid damp retire disappoint picture postcard galore excite thought retire pack 13 compartment five child ever seaside suppose everyone wealthy flourish close 7.0 relpied entirely special malayalam share glory brigstock certificate yes bank safely deposit prisoner fate business-like cousin h webber share matter muddle generally however affair khaki a1 food : red cross extra-goo-fit-for-generals-and-such-like use ought share meat sugar guess red cross newspaper notice military gentleman position name 6 seat alhambra peace certainly accord christmas believe mark sky high,1918
pw028,1st oct banger holzminden 31 oct 1st aug 9th 21st guess stand offer result gooseberry bush guess number fruit bush strictly 5.30 mention till 8.30. mean quarrel real bognor weather none fine charles webber particular bond buy particular sometime anyhow buy short dated anymore card three month instead building begin fair chance assurance company remember chief department pretty assistant deal type particularly kill godwin godwin offer job fill vacancy delightful cousin maybe useful fairly type particularly cooking mention sausages form stable item diet everybody red cross store everyone sends sausage fry apt burst fact tin especially explosive elite politely refer banger happen crowd stove somebody middle cooking sausage suddenly report banger explodes blow red hot piece usually major face neck nature always land uncovered part immediately yell upset porridge stew whatever happen stir sausage wrath heaven sausage owner ancestor describe luridly minutely red cross tin corned beef army ration nearly vegetable although kind milk grease kind sugar bottom drawer certainly best suggestion ever include flour,1918
pw029,"29th sept bishop potato bognor 29.9.18 tomorrow therefore opportunity weather awful holiday grey breakfast along extreme end intend end sit however rain shelter sit buy yday canon residence whitechurch highly interesting especially evidently chichester yday fly rapidly thro rain dinner since dinner pour pour sit huge fire paper massey lend natural history tea catch 10.50 chichester thoroughly picturesque old-world cathedral twice second organist practice fine organ outside remark prefer outside building blue sky green field certainly beautiful main street ½ mile westward almost bosham chichester channel run high water yacht catch 5.38 besides cathedral 7 church case watch festival decorate favour dissenting church presence close chichester contain 12,591 inhabitant wicked require many church bishop private garden gardener bishop potato patch everyone grow potato ought set example shock friday party picture waa co jolly bread making picture warwick castle film ghost act overdone admirable crichton best tomorrow 2.25. change favourable spot bungalow golf link 7 hole probably marshy ground tea party besides consist 5 maid 4 white hair extremely proper strong desire knit coat dare horrify yes set example waste",1918
pw030,27th sept palmist pier bognor 27.9.18 friday august 15th arrive conclusion happen overdue silly skyhigh 15 doubt skyhigh reach promptly forward request novel watson print copy elsewhere believe direct firm permit silly suppose munro poor soul plan sanctum sanctorum study kitchen big kitchen big elaborate meal cook pretty bungalow fresh future view pier pop palmist strike frightened future doubt case detective fortune law draughtsman decorator public singer ought manageress organiser change surroundings settle future hubby abroad fight safe till return scar speck afterwards add mean well. mention refine photo part favour show photo interested guess pity add master mind. worry henpecked concert heard best singer sing grey,1918
pw031,25th sept silly sensational rubbish bognor 25.9.18 wednesday sit beach stone pad sinking sun shin face scarcely cloud heavenly flesh complete grow poetical need doctor health splendid therefore former spend gayford john reach advance age 7. later john station meet full aldwick tea dinner folk mother daughter concert monday picture saw play admiral creichtons barry inland five mile pretty around bit tired beach sit tide high attention theatre saw american play kick rate saw part silly sensational rubbish biscuit slang ridiculous act none best thieving case murder stab induce end arrive tea folk concert palmist pier promise perhaps tomorrow,1918
pw032,23rd sept bognor thunderstorm bognor 23.9.18 monday watford brother alfred ill. funeral return tomorrow 4.7 meet gayford boy general manager end worthing saty ex general manager bit lonesome saty aft theatre saw billet play short gallery youngster young 12 guess lively interest play hero colonel captain shrill pierce voice actor vicar deride act climb bar leant fought directly curtain raise bognor dinner run gayford meet pier saw diving four felpham awful hole worse rain eden thinking martin chuzzlewit g adam here. felpham church rain saw short thunderstorm real mean borrow awful told sleep soundly six hut wash promenade 6 inch deep pebble seaweed glorious bright sun huge wave plenty wind bit showery spend gayford tide high wave wash across promenade roadway garden opposite hour sharp imagination dinner beautifully fine short thunderstorm tea,1918
pw033,20th sept bognor board bognor 20.9.18 friday april weather wind throw blow cobweb brain nyetimber pagham village pagham boast church big nyetimber barn contain form oil lamp text wesleyan chapel service hold 30 provide fat pagham mile road bungalow colony picture twice second ½ hour ago gayford son john hug hedge generally awful writing bit shaky evidently spite fact drink champagne excuse dreadful writing pen boarding pen resemble pen john sharpen pencil new knife thereby render past bring uncle alfred christmas pneumonia diabetes sound watford weekend monday meantime imagination figure eh cheeky beggar gayford tonight weekend guess scarce kid baby fall mummie lap. thump awful crack hard love,1918
pw034,18th sept seaside sealands aldwick rd bognor 18.9.18 wednesday sit shore tide monday saty balham arranged decide meet monday saty wrap shawls minute later feverish cold light head scarcely head pillow london bridge without tea monday suddenly 10.0 tuesday shopping pack catch 12.4 1.36 victoria fill change barnham short bognor arrive minute 4.7. wait station weather fine tea immediately gayford introduce mother arrive tea along beach pier john age nearly 7 lesson kick football knowledge useful later dinner g lose bump locality moon save situation arrive 8.30 9.0. boarding bognor bexhill bungalow extreme west end town holiday complete without him. guess breakfast succeed escape beach without gayford john probably sleep love,1918
pw035,15th sept school teacher holzminden 30 september 15th dearest great receive four together receive batch afterwards singley blank polly mention nearly weekend together always great comfort help many ways. thanks encourage watford nurse aunt annie introduce family curio mean aunt maria almost forget existence rare interval thank muriel chocolate mouth water already continue arrive eat follow regret ever thanks february 6th holland anybody ever accuse remind exchange forward sound true fellow stripe every remain prisoner service stripe wound stripe prisoner stripe doubtless invent arm zebra leg august 15th board education later card add mitchell advanced building construction late edition publish batsford wonder card agree gm allow seven eight reason department understaffed order deficiency elsewhere lutt bullyrag bullyrag possibly somewhat surprise become school teacher thereby least attain height ambition buttonhole tame architect camp class build construction class quantity building construction class anxious well. class arrange wednesday behold hind leg hold forth three experience oughter without big fool lesson realize require practice apt point explain someone question answer right many degree knowledge different absolutely others minutely elementary otherwise head architect many others artistic point view building practical constructive portion many excellent experience teach difficulty crop probably notice ordinary able explain remind learn learn architect teach perspective drawing suddenly gorgeous art study happen regard suggestion parquet flooring hall expensive tile always cold however effect ordinary wood floor grand piano afford rug cushion mean lot snapshot set,1918
pw036,13th sept jamaica rum 13.9.18 to-day interesting bognor early shopping early to-morrow balham dinner grandson sneeze ern bottle fine jamaica rum open bed. case cold entirely milk ovaltine heat three quarter nearly breakfast cup milk ern rum right quantity either fill cup taste hot ern taste drink quickly. breath quickly whether rock however sleep heavily wake dream huge bull sit felt cup tea to-night cold entirely disappear matter fact sniffle cold relate,1918
pw037,11th sept muriel 11.9.18 wednesday london bridge inquire bognor 1.50 change barnham station bognor guess 4.0. refer muriel quote part copy less refer pleased late needless always interested wonderfully cheerful safely help pass hour evidently mean business bungalow camouflage remind siege hold gallantly afraid fall heart city prevent simile holiday monday lucky weather thoroughly rest friend bognor pleased babbacombe whether consider suitable honeymoon doubt inquiry behalf friend meditate marriage personal point view understand answer emphatic yes ideal bear mind ever occasion offer charming delightful scenery perfect solitude right heart country bath picnic change torquay within distance town concert theatre charming babbacombe abounds quiet nook delightful glade desire except right ever holiday perfect every farm charm catering excellent clean cooking attention modest sum £2.2/- inclusive ever keen bathing allow bathe imagine splendid mother kind remembrance hop spend holiday love affectionately muriel ps dress pleased attempt. to-day,1918
pw038,10th sept iron tip shoe 165 10.9.18 tuesday friday butcher bill pair shoe previous mend blighter rubber heel instead favourite iron tip delight object important noise noise important help potato glass deal dig chance drencher weigh potato 61 lb 15 oz large 10 ½ oz pleased grow big felt tired cold balham potter practice monday wake cold decidedly nuisance cold usually fortnight to-day mean bognor therefore wise imagine fancy grand lady grand appetite appease eat doze future strange sleep top bedtime wake till 7.0 jump dumbbell almost slept cold enclose card aug 8th gayford telephone board bedroom afraid best behaviour succeed punish cheek stand chance muriel content,1918
pw039,6th sept retire bognor 6.9.18 mentally world date 1st august afraid ever answer main point isaac barrier simpkins plot muriel deny barnett fail archie webber best relative side isaacs ago gardening heart grow winter spinach prolific hardy watkins border garden behave misbehave mean apology felt family 22. present family number 90 monday since change health moan surprise watchet previous babyish behaviour outcome suddenly freedom tone great improvement harold gordon civilly show card bognor always speak tho fell love live retire picture plan mind kitchen scullery use practically cook clean certainly attic floor billiard top someone else sell piece dutch everyone amusement sound sportive kind language speak suppose dutchman throat pretty tough repeat brigstock malayalam share hand certificate guess censor enough close ps balham till late,1918
pw040,4th sept g.m. wife 4.9.18 wednesday item general manager sent speak new west end branch health remember wonder holiday fortnight less bognor fairly jump gayford john address anywhere boarding house. extreme end wonder lady hubby case previous blow atom else happen repeat main point : mother invest £100 banker dividend account 15th feb 1 awfu bognor sept 16th fortnight design beach hut accommodate 6 part cut censor holiday bognor cornwall south devon sometimes christmas build rain bit warm muriel coat slow job else slow late fact slack whole plan low part kitchen windows colour glass forget whether pratt bead curtain stainless cutlery,1918
pw041,2nd sept weekend 2.9.18 monday weekend spend cut grass trim fern garden windy cold potter clothes blind tale couple maiden lady grand anstey shut eye ear everything horrid strictly proper harmless ala harmless folk harmless author point tale worth 10.0. sleep till 9.0 horror 7.25 wake sleep perhaps cooler weather bognor fortnight fortnight boarding return business fit fatter earn £9.16.- overtime afford holiday suitable bungalow badly hour dream short ps newspaper present rate longer paper,1918
pw042,1st sept barb wireitis holzminden 29 sept 1st polly thank muggridge indeed pack certain imagine everybody indulge called spanish plague eighty per cent camp fact except certainly flop great part plague others except crony fellow rest however everything usual practice economy wear couple shirt need sheet guess shirt altogether lend sheet without cutting patching however complete design certainly striking distinctly ordinary whole effect greatly enhance fact shirt originally khaki cotton grey flannelette buy frenchman capture sewing elegantly brown wool unravel wear sock pattern possibly consider nouveau art style futurist perhaps settle almost special treasurer use wrap tissue paper lock drawer bring christmas saint thanks ever trouble malaylam business everything satisfactory paper timber merchant builder vade mecum g bonsfield publish w rider son ltd 8 paternoster row reinforce concrete f ring publish batsford enclose form board education quicker regard general certainly uncle charlie webber quarrel own adjoining fence amuse although perhaps describe second affair fence nearly end law suit account swiss doctor barbed wireitis particular form madness inflict prisoner usual pet ailment symptom added learn doctor mention strangely enough longing afraid rigmarole bit describe anyhow account learn doctor correct sure quickly grade already pale interesting puffick shadder former self regard beach hut bedroom easily 6 6 suggest mean add length hut job esther follow around liable anywhere moment notice wonder refer reach obviously address goodness upset considerably least desired effect muggridge upon photo perfectly certain belong unless wishful direct cause riot himmedgit sooner remember particularly thin platoon photo certainly large amount exercise unusual question cook split party three five cook personally particularly hedgehoggy unsociable cater consequence reduce cooking fine art perhaps suggest laziness par excellence lot cook carry perhaps three instance enough porridge four breakfast warm instead cook cater suit many fee choose fellow hand although perhaps great variety dish trouble fee,1918
pw043,1st sept shirt sheet ginger linn holzminden card no.13 sept 1st heard month particular longing bleed tie knot aid class guess kiddy need france wonder engineering record mar 14th 21st 1918. article practice economy wear couple shirt need sheet guess shirt altogether lend sheet without cutting patching however complete design certainly strike ordinary whole effect greatly enhance fact shirt originally khaki cotton buy frenchman grey flanelette sewing elegantly brown wool unravel wear sock pattern nouveau art perhaps,1918
pw044,30th aug knickerbocker suit 30.08.18 till 8.30 dream cross promptly promptly spend holiday fortnight boarding bognor monday 16th sept fortnight date overtime list august earn £2.19.- month month overtime payday to-day feeling pleased friend north london weekend change guess plenty odds end short word occurs five new leaf bye use attaché case yes cheek mine knitting remember coat muriel devonshire father new leaf patriarch watkins holiday wander light knickerbocker suit,1918
pw045,28th aug campbell wound 28.8.18 to-day weather pretty awful newspaper continue contain excellent mind fancy grumbling weather east end balham pleased jolly propose holiday boarding bognor boarding 16th sept fortnight accepting earlier approval earlier part mind suitable bungalow friend campbell wound major saw newspaper picture postcard willsher near tunbridge different part mostly wonder five cucumber heap tomato dig pound potato already forget whether ¼ lbs gooseberry bush marrow behind holiday immensely,1918
pw046,28th aug st olave w rushbrook st olave grammar school aug 28 line mother address best acknowledgment victoria boys 2/lt france 7.35 .. steam full return move sight head full pride gratitude confidence  issue convince  hty something big mere nationalism world safe country big gen sir wm robertson prize since believe : least 1915 nov 18 date enter visit nearly .. safe help build new england brighter world peace return ever truly wg rushbrook,1918
pw047,26th aug return 159 26.8.18 friday wet umbrella break wet reply bognor early date 28th sept. late ought reply boarding carter putney grave bonny dandelion hour tea windmill strain maiden prayer holiday 8.40 arrive 10.0 slept tremendously nearly three chapel instead pour rain to-day showery whip hand short keble howard whip hand fine feeling case mother-in-law end practice to-day fat funny across desk speak shame-faced later thus line thank welcome surprise honor oak mother grave flower single weed appreciate kindness thoughtfulness much. poor sorry evidently nurse grievance end later dressing arm around neck nearly head smacking kiss scarcely speak aunt christian clergyman £100 across christian name favoretta walterina lady marry name evidently choke sweetheart daughter name grand sound combination,1918
pw048,23rd aug bognor enquiry 23.8.18 to-day heat terrific previous cool to-day cemetery water grave parch best bloom return monday since 6th july since heart gush friendship dentist bring couple card date 20th 27th july address bognor crochet lace sheet already commence bungalow smile officially draw plan live later sketch beach hut sleep 6 158. balham to-morrow weekend,1918
pw049,21st aug ethe brainwave 21.8.18 delight 5.30 forbid lutt longer weather glorious tuesday rudge sell apartment close willsher country meet bank invest £100 money name banker dividend account many divs store order monday hopefuls resignation promptly cry later explain thus offer firm £2.10/- promise argue although nearly break heart felt month positive hint bear without hard opportunity minute bring photo mine conservatory darning sooner sit confide brain wave brain wave sometimes harmless almost word word conclusion surprised marry plan bungalow mean build carry absurd marry bull horn stand manage three retire falmouth unless settle live london retire bognor fact bungalow live rent frequently dull me. matter stand happy folk clever breakfast sketch bungalow retire bottom drawer grant yes guess crochet choose design crochet always it. rate use retire message persuade bognor fortnight succeed rate spend weekend,1918
pw050,19th aug weekend balham 156 19.8.18 wet although glass 30 scandalous however 12.30 reach balham 1.15 hot dinner ready scandalous marrow growing beauty recover strength entirely september promise mother dismal lose capel least account funeral nobody upset felt relief c rest fancy brunning money evidently mother die part everything ought single edith pratt whitsun hostel near birmingham month hard lady large three sit drawing window wide open knitting tea rain mother toot common early wake late seaside peter clapham common examine allotment three approve discharged soldier arm plot fond manage alone excellently gardening ground early dinner streatham common sit top amongst bracken blackberry lay white dove lent afraid moral hour conclusion asleep suddenly wake asleep eat orange so-and-so fall asleep thought fact 5 minute 5.20 tea chapel listen new preacher sermon sum follow worry enough trust almighty enough salvation clumsily worry cotton-bull story tenant poor opinion christianity fond preach encourage duckie consequently best term lunch cease to-day reach 9.0. new 89 ps wednesday meet bank investment,1918
pw051,16th aug blow 16.8.18 spend spare lunch 15th feb 1st 15th july ago three within three record censor temporary worker rise clerk else fall cheek something awful 15th july appear mine reach destination guess blow : folk suppose watford hard forget except wash white woolly coat advised previously twinkling eye print others scarlet purple mark beast type description present dress blush dress england regard build shock study strenuous however plan excited refer plan enclose believe king hall road railway always pas brick red terrace outside dining drawing three step garden effect sha n lot longer temporary bye remember gidea park save £1000 business count roughly speak £900 quick everybody less roll wealth flourishing heap folk spring clear,1918
pw052,15th aug munro holzminden 28 august 15th gardening arrive thanks indeed thanks thinking novel miniature mudie bother timber merchant builder vade mecum g bonsfield publish w rider son ltd 8 paternoster row ec 4/- reinforce concrete f ring publish batesford 7/6 15th mention probably astray already order cross form board education forward quick mean less trouble american modern farming deal particularly soil research interest scientist american agricultural department bring forward absolutely new theory regard working soil feeding plant direct opposition exist theory experiment something although everybody else include oppose curious part although theory new theory entirely different ordinary system cultivation correct accident fountain pen drop point naturally improve malayalam particular although others mention matter putney grave guess lime manure fresh mould five ago since plant longer break middle late possibly munro moorland inverness husband something following : munro sorry unable direct already use allowance month afraid information probably munro charge company dugout return hour later whole completely blow although question touch capture unable anyone information dugout conclude dugout shell explode extremely sorry unable definite thank indeed kind truly dht address school friend mine harold gordon apparently allow return ordinary private life manage married lately regard question size kitchen bungalow plan easy matter living large move partition living kitchen use second living extra bedroom second living hardly need either case kitchen considerably mine lower kitchen portion foot distinct improvement lower roof portion present heavy mean kitchen hall 8 6 high living 9 6 matter fact difference notice ordinary difference level show anywhere build,1918
pw053,14th aug education 14.8.18 10 minute hindrance quarter-of hour heard funeral to-day 3.30. glenroy offer 56 however weekend weather simply glorious second fortnight high glee bet ern couple large box chocolate help eat sisterly duty father use speak daughter fancy late till 7.0. reach water garden knitting dark muriel coat already explain board education muriel free friend slow batsfords astray entirely correspondence firm despatch order believe order forget tho declare permit reach neglect lately spend holiday together present,1918
pw054,12th aug vacuum clean 153 12.8.18 friday business 5.30 butcher bill hard garden consequently stiff till 3.0. tonight till 7.0. hour certainly cemetery grave stock blaze colour foot high due suppose upset heart queer run heart weak worry heart foot suppose ah uncle auntie tea supper return leatherhead previous uncle mind whether hobby move sydenham auntie funny laugh deal evidently depart character capel dead honestly blessing everyone funeral ought everyone jolly nicely clear progress favourably money account whatever worry regard matter sound treat happy four new 87 big family muriel torquay p.c immensely enough honeymoon tease future presently everything grant promise yet. whereupon suddenly marry boy kill quick muriel threaten folk interest rate article realization anticipation pity sorry saccharine saxin afraid helen child vi hubby paignton georgie lay law child pond alone bill george mind dirls georgie use kissing evidently grow land ale line everyone wake fact help either else cultivate allotment certainly vacuum cleaner beard amuses mightily grow wrong forehead,1918
pw055,9th aug 9.8.18 thursday date 1st july contain fortnight occasion wait 5 new age p.c.s doubt bundle since nuisance break teeth fight manage fancy study dutch uncle sailor dutch useful language traveller learn imprisonment age poor fellow sorry age fight worry dreadfully worry consider disabled business standstill personally prefer rest business remind reach clearing-up stage ignorant civilian anxious apparently rate everyone cheerful satisfied together part late to-night reply monday,1918
pw056,"7th aug west end branch 7.8.18 compartment half journey discuss lot rate discuss lot interruption prevent decision wonder drawing accord plan large grand piano expensive lot require furniture decide furniture bare decide whether hall parquet floor tile plenty rug cushion remember spring wonder sleep muriel coat shock studying shock 1 ½ hour overtime funny general manager sent westend branch supply daffarn g.m. pleased recommend happen mention couple strenuous accelerate influenza 8.0 till 8.30 poor almost jump skin rang lutt bullyrag lutt fault g.m lutt supply able government shorthand typists hold consequently hard ever lutt evidently complain g.m complain g carry periodically laugh lutt g.m brick without straw g.m reply refuse build remember dept immediate supervision warm 5 minutes. realize new to-day meantime holiday earnest slacken ps saw paper 120,000 prisoner exchange particular",1918
pw057,6th aug 6 august friday balham reach 8.0 retire 9.30 ready 9.0 til 2.0. thunder catch 6.0 balham sit drawing watford capel weather peter clapham common hill puff bit sit common heap slight cough cough worry mother hark trouble fool. almighty best trust decline to. thoughtful since speak word duckie wonder extra special big humbug common ern bring 15th plan hall dinner ever since discuss remember finally garage motor allocate boudoir provide boudoir costume match agree doze chapel toot common monday rain wimbledon saxifrage reach merton tremendous queue wait wimbledon tram instead webber comfortably instal large chair word fill nurse thank indeed glenroy severe black webbers although queer daughter alone forgive w bit uncomfortable tp sympathy poor harry eat meat bacon egg suppose daily paper part widow madge worry meet behaviour safely rely plenty eat city fat enough. wandsworth common to-night sleep till 7.0 probably,1918
pw058,4th aug boot ginger linn holzminden card 12 aug 4th april 16th 24th 26th lastly erl vastly amuse gentleman heading page full kiss thank indeed holland later receive belting thank john boot moment belting fellow sock boy fine form physically judge gymnasium examination amuse anxiety eye surprised son mother blood recover measles,1918
pw059,2nd aug highly respectable wink balham 2.8.18 highly respectable esteem aunt maria deliberately wink wednesday 7.30. ever recover shock wonder wonder later help supper whiskey table reply left aunt pretend horrify pious aunt christmas 4.30 watford charge usual wretched cough awake ovaltine act magic scarcely cough since consequently promise soothing cough card date 23rd to-morrow pop await open west end branch 23rd august supply senior junior engage new training lot overtime later 7.0 weather awful thank goodness mind late,1918
pw060,1st aug £800 holzminden 27 august 1st dearest four altogether outside thoroughly manage minute darling life pretty empty without receive three contain issacs barrier simpkins plot since mitchell building construction thanks order garden allotment sound ought twinkling eye arrive either thank muriel indeed three four subject upon already particularly useful different point view anxious three river threat kill possibly relieve feeling satisfaction sad love affair end suddenly tragically present issacs indian tale marvellous altho claim ordinary miraculous different barrier tale klondyke usual hero heroine sprinkling villain simpkins plot fellow borrow funny behave misbehave tea felt steer family 22 theatre middle tea shop thank cox without actually note card 1st balance plan bungalow awake thank birthday journey believe mention mother brother thank school fellow mine harold gordon remember receive france princetown apparently although able job address believe address drawer explain quantity attempt price result sea price £800 present pricing use present condition except rough item likely strike perhaps lower kitchen hall half foot save cost foot everything portion remark kitchen large size especially kitchen scullery combine probably notice attic floor roof plenty without alteration besides window three four add considerable value ever sell altho need case provision addition easily fifteen per cent bungalow use throw sound attractive enough feasible provide spot choose ideal within 1 ½ hour london within easy reach town fact shoreham transport elsewhere building paper along number fact worth already enough ahead employ considerable touch bookkeeping dutch progress g aid cold throat able pronounce sufficiently dutchman dim drive suddenly twice word face wall wept teach french order carry dentist use converse fluent sentence compound french german latin english carefully compound rich intricate mixture esperanto fool malayalans happen april 30th buy 15 share 6th 10 25th 10 35 total cancel order 25 worth bit longer necessary late continually effect,1918
